Event_ID,Supply_Level,Valve_Position,Measurement,STATUS
441,median,on,122,Normal
442,low,off,166,Normal
443,high,off,158,Normal
444,low,on,127,Normal
445,median,on,278,Critic
446,high,on,166,Normal
447,low,off,152,Normal
448,low,off,134,Normal
449,low,on,137,Normal
450,median,off,230,Critic
451,low,off,128,Normal
452,high,off,190,Critic
453,median,off,140,Normal
454,low,on,126,Normal
455,low,on,128,Normal
456,median,on,142,Normal
457,low,on,122,Normal
458,high,on,222,Critic
459,low,on,148,Normal
460,low,on,138,Normal
461,median,off,154,Normal
462,median,off,132,Normal
463,low,on,128,Normal
464,low,on,126,Normal
465,median,off,153,Normal
466,median,off,120,Normal
467,median,on,137,Normal
468,low,off,155,Normal
469,low,off,156,Normal
470,high,on,156,Normal
471,low,off,131,Normal
472,low,off,126,Normal
473,high,on,146,Normal
474,low,on,153,Normal
475,low,off,138,Normal
476,high,off,124,Normal
477,median,on,225,Critic
478,median,on,144,Normal
479,high,off,152,Normal
480,high,off,201,Critic
481,low,on,166,Normal
482,low,on,155,Normal
483,low,on,158,Normal
484,low,off,169,Normal
485,median,off,164,Normal
486,high,off,126,Normal
487,high,off,126,Normal
488,high,off,231,Critic
489,low,on,134,Normal
490,median,on,166,Normal
491,low,on,130,Normal
492,low,on,122,Normal
493,high,on,137,Normal
494,median,on,128,Normal
495,high,off,226,Critic
496,low,off,137,Normal
497,low,on,168,Normal
498,median,on,208,Critic
499,low,off,165,Normal
500,low,on,160,Critic
501,high,off,157,Normal
502,low,on,150,Normal
503,low,off,137,Normal
504,median,on,148,Normal
505,median,on,145,Normal
506,low,off,153,Normal
507,median,off,261,Critic
508,low,off,162,Normal
509,low,on,134,Normal
510,median,off,126,Normal
511,low,on,148,Normal
512,low,on,136,Normal
513,low,on,162,Normal
514,median,on,162,Critic
515,median,on,176,Critic
516,low,off,231,Critic
517,low,on,130,Normal
518,median,on,146,Normal
519,high,off,164,Critic
520,low,off,160,Normal
521,low,on,167,Normal
522,median,off,166,Normal
523,median,off,166,Normal
524,low,on,170,Normal
525,low,on,204,Critic
526,median,off,152,Normal
527,low,off,146,Normal
528,median,off,162,Normal
529,median,on,149,Normal
530,median,off,148,Normal
531,high,on,219,Critic
532,low,off,155,Normal
533,low,on,166,Normal
534,low,on,139,Normal
535,median,off,286,Critic
536,low,on,139,Normal
537,low,on,138,Normal
538,high,on,122,Normal
539,high,off,166,Critic
540,low,on,128,Normal
541,low,on,137,Normal
542,low,on,128,Normal
543,low,on,169,Normal
544,low,off,154,Normal
545,low,on,161,Normal
546,median,off,166,Critic
547,median,off,134,Normal
548,high,on,148,Normal
549,high,off,207,Critic
550,low,off,152,Normal
551,high,off,288,Critic
552,high,on,240,Critic
553,low,off,148,Normal
554,high,on,163,Normal
555,median,off,147,Normal
556,high,on,159,Normal
557,low,off,138,Normal
558,low,on,126,Normal
559,high,off,285,Critic
560,low,on,125,Normal
561,low,off,124,Normal
562,median,on,167,Normal
563,median,on,160,Normal
564,low,on,139,Normal
565,low,off,168,Normal
566,low,on,124,Normal
567,median,on,141,Normal
568,high,on,192,Critic
569,median,off,167,Normal
570,median,on,138,Normal
571,low,off,168,Normal
572,high,off,252,Critic
573,low,on,150,Normal
574,median,on,170,Normal
575,low,off,126,Normal
576,median,on,130,Normal
577,low,on,129,Normal
578,median,off,155,Normal
579,median,off,162,Normal
580,low,on,150,Normal
581,high,off,140,Normal
582,low,on,153,Normal
583,low,on,188,Critic
584,median,off,192,Critic
585,low,off,243,Critic
586,low,on,121,Normal
587,high,off,170,Normal
588,high,off,127,Normal
589,high,off,152,Normal
590,low,on,160,Normal
591,median,off,178,Critic
592,median,off,298,Critic
593,low,off,148,Normal
594,low,off,270,Critic
595,high,off,166,Normal
596,low,on,166,Normal
597,median,off,156,Normal
598,median,off,122,Normal
599,low,on,135,Normal
600,median,off,148,Normal
601,median,on,140,Normal
602,low,off,162,Normal
603,high,on,135,Normal
604,low,on,156,Normal
605,median,on,142,Normal
606,median,off,266,Critic
607,high,off,188,Critic
608,median,on,147,Normal
609,low,on,134,Normal
610,median,off,126,Normal
611,high,on,123,Normal
612,low,on,148,Normal
613,high,off,152,Normal
614,low,off,138,Normal
615,low,off,126,Normal
616,median,off,133,Normal
617,low,off,144,Normal
618,low,off,218,Critic
619,low,off,143,Normal
620,median,off,144,Normal
621,low,on,168,Normal
622,low,off,133,Normal
623,median,off,272,Critic
624,median,on,167,Normal
625,low,off,131,Normal
626,low,off,150,Normal
627,low,off,166,Normal
628,low,off,152,Normal
629,low,off,292,Critic
630,low,off,166,Normal
631,low,off,125,Normal
632,low,on,150,Normal
633,low,off,126,Normal
634,low,off,139,Normal
635,median,on,160,Normal
636,low,off,164,Normal
637,high,off,168,Critic
638,median,on,168,Normal
639,median,on,121,Normal
640,high,off,159,Normal
641,low,off,144,Normal
642,low,off,138,Normal
643,high,off,207,Critic
644,median,on,136,Normal
645,low,off,204,Critic
646,high,off,154,Critic
647,low,off,133,Normal
648,low,off,166,Normal
649,low,off,128,Normal
650,low,on,166,Normal
651,low,off,147,Normal
652,low,on,164,Normal
653,low,off,125,Normal
654,low,off,162,Normal
655,low,off,162,Normal
656,low,on,162,Normal
657,low,on,156,Normal
658,low,off,128,Normal
659,low,off,162,Normal
660,median,on,132,Normal
661,low,off,136,Normal
662,high,off,168,Normal
663,high,off,146,Normal
664,median,off,300,Critic
665,median,on,133,Normal
666,median,on,144,Normal
667,low,on,121,Normal
668,low,off,166,Normal
669,low,off,169,Normal
670,median,off,150,Normal
671,high,on,201,Critic
672,median,off,165,Normal
673,low,on,158,Normal
674,median,off,152,Normal
675,median,on,134,Normal
676,median,off,168,Critic
677,low,on,280,Critic
678,median,on,124,Normal
679,low,on,156,Normal
680,low,on,152,Normal
681,high,off,182,Critic
682,low,off,149,Normal
683,median,off,141,Normal
684,high,on,124,Normal
685,low,off,150,Normal
686,high,on,152,Critic
687,low,off,144,Normal
688,median,on,124,Normal
689,low,off,143,Normal
690,low,on,142,Normal
691,low,on,164,Normal
692,low,off,162,Normal
693,low,on,160,Normal
694,median,off,170,Normal
695,low,on,126,Normal
696,median,on,142,Normal
697,low,on,141,Normal
698,high,on,155,Normal
699,high,on,146,Normal
700,low,on,127,Normal
701,median,on,148,Normal
702,low,off,136,Normal
703,high,off,156,Normal
704,high,on,158,Normal
705,low,on,134,Normal
706,low,off,142,Normal
707,median,on,142,Normal
708,median,off,243,Critic
709,median,off,297,Critic
710,low,on,120,Normal
711,median,on,145,Normal
712,high,off,176,Critic
713,low,off,135,Normal
714,median,off,184,Critic
715,median,off,144,Normal
716,high,off,150,Normal
717,median,off,130,Normal
718,low,off,167,Normal
719,high,off,140,Normal
720,median,off,292,Critic
721,low,on,152,Normal
722,median,off,224,Critic
723,median,off,168,Normal
724,median,on,147,Normal
725,low,off,164,Normal
726,median,off,201,Critic
727,low,off,166,Normal
728,low,on,122,Normal
729,low,on,128,Normal
730,median,off,270,Critic
731,high,on,210,Critic
732,low,on,148,Normal
733,high,off,146,Normal
734,median,off,124,Normal
735,high,off,177,Critic
736,low,on,169,Normal
737,low,on,138,Normal
738,high,on,156,Normal
739,high,on,156,Normal
740,high,off,144,Normal
741,low,off,141,Normal
742,high,off,296,Critic
743,low,on,132,Normal
744,median,on,153,Normal
745,low,on,152,Normal
746,low,off,144,Normal
747,high,on,158,Normal
748,low,off,148,Normal
749,median,off,144,Normal
750,low,off,158,Normal
751,high,off,171,Critic
752,median,off,133,Normal
753,high,on,294,Critic
754,low,on,146,Normal
755,high,off,141,Normal
756,low,off,219,Critic
757,median,off,160,Normal
758,low,on,170,Normal
759,low,off,122,Normal
760,high,off,216,Critic
761,low,off,128,Normal
762,low,on,268,Critic
763,median,off,160,Normal
764,median,off,146,Normal
765,low,off,160,Normal
766,median,on,138,Normal
767,median,off,246,Critic
768,median,on,154,Normal
769,low,on,174,Critic
770,median,on,128,Normal
771,high,off,156,Critic
772,low,on,158,Normal
773,low,on,162,Normal
774,median,off,123,Normal
775,low,on,158,Normal
776,low,on,125,Normal
777,median,on,154,Normal
778,high,off,220,Critic
779,median,on,152,Normal
780,high,on,146,Normal
781,low,on,140,Normal
782,median,on,142,Normal
783,low,off,135,Normal
784,median,on,134,Normal
785,high,on,201,Critic
786,median,on,170,Normal
787,high,off,244,Critic
788,high,off,137,Normal
789,low,off,132,Normal
790,median,off,143,Normal
791,median,off,129,Normal
792,median,off,133,Normal
793,low,off,126,Normal
794,median,on,150,Normal
795,high,off,152,Normal
796,high,off,128,Normal
797,low,on,122,Normal
798,low,on,138,Normal
799,low,off,155,Normal
800,high,on,274,Critic
801,high,off,246,Critic
802,low,on,148,Normal
803,low,off,160,Normal
804,high,off,200,Critic
805,low,on,158,Normal
806,high,off,237,Critic
807,median,off,156,Normal
808,high,off,219,Critic
809,low,off,139,Normal
810,median,off,125,Normal
811,low,on,149,Normal
812,low,on,141,Normal
813,high,off,135,Normal
814,median,on,168,Normal
815,low,off,132,Normal
816,median,off,170,Normal
817,low,off,166,Normal
818,high,off,141,Normal
819,median,on,142,Normal
820,median,off,246,Critic
821,median,off,152,Critic
822,low,off,133,Normal
823,high,off,174,Critic
824,low,on,128,Normal
825,median,off,130,Normal
826,high,off,174,Critic
827,high,off,163,Normal
828,high,off,214,Critic
829,low,on,132,Normal
830,high,off,300,Critic
831,high,off,246,Critic
832,low,off,156,Normal
833,high,on,164,Critic
834,high,on,134,Normal
835,low,off,183,Critic
836,high,off,163,Normal
837,low,off,168,Normal
838,low,on,122,Normal
839,median,off,156,Normal
840,high,on,139,Normal
841,high,on,150,Normal
842,low,off,130,Normal
843,low,off,165,Normal
844,low,on,150,Normal
845,low,off,164,Normal
846,low,on,170,Normal
847,median,off,142,Normal
848,low,on,130,Normal
849,high,off,224,Critic
850,high,off,194,Critic
851,high,on,166,Normal
852,low,off,160,Normal
853,low,off,134,Normal
854,low,off,244,Critic
855,low,off,134,Normal
856,median,off,284,Critic
857,low,off,124,Normal
858,low,on,133,Normal
859,high,on,138,Normal
860,low,off,126,Normal
861,median,on,148,Normal
862,median,off,164,Normal
863,high,on,157,Normal
864,low,on,129,Normal
865,low,on,180,Critic
866,low,on,170,Normal
867,low,off,138,Normal
868,low,off,161,Normal
869,low,off,123,Normal
870,high,on,207,Critic
871,median,off,160,Normal
872,low,off,156,Normal
873,low,on,121,Normal
874,median,off,284,Critic
875,low,on,158,Normal
876,low,off,132,Normal
877,low,on,148,Normal
878,median,off,164,Normal
879,low,on,162,Normal
880,median,on,126,Normal
881,low,on,125,Normal
882,low,on,156,Normal
883,median,off,148,Normal
884,median,on,123,Normal
885,low,off,130,Normal
886,low,on,130,Normal
887,high,on,140,Normal
888,high,off,284,Critic
889,low,on,161,Normal
890,low,on,138,Normal
891,high,on,166,Critic
892,high,off,154,Normal
893,high,on,138,Normal
894,high,off,182,Critic
895,high,off,148,Normal
896,low,off,260,Critic
897,median,off,149,Normal
898,median,on,129,Normal
899,low,on,133,Normal
900,high,off,264,Critic
901,median,off,128,Normal
902,median,on,188,Critic
903,low,on,169,Normal
904,low,on,160,Normal
905,median,off,136,Normal
906,low,off,135,Normal
907,low,on,147,Normal
908,low,on,129,Normal
909,low,off,154,Normal
910,median,off,291,Critic
911,median,on,168,Normal
912,low,on,148,Normal
913,median,on,148,Normal
914,low,on,120,Normal
915,low,off,150,Normal
916,high,on,132,Normal
917,low,on,161,Normal
918,low,on,148,Normal
919,high,off,152,Critic
920,median,on,132,Normal
921,median,off,134,Normal
922,low,off,148,Normal
923,low,off,136,Normal
924,low,off,126,Normal
925,high,off,140,Normal
926,median,on,141,Normal
927,low,on,154,Normal
928,low,off,168,Normal
929,low,on,129,Normal
930,low,on,139,Normal
931,high,off,128,Normal
932,median,on,168,Normal
933,low,on,158,Normal
934,median,off,267,Critic
935,low,on,122,Normal
936,median,on,125,Normal
937,high,on,170,Normal
938,high,off,139,Normal
939,high,off,154,Critic
940,low,on,126,Normal
941,low,on,140,Normal
942,median,off,131,Normal
943,low,on,124,Normal
944,low,off,160,Normal
945,low,on,154,Normal
946,high,off,254,Critic
947,high,on,150,Normal
948,high,off,166,Normal
949,low,off,162,Normal
950,median,on,236,Critic
951,low,off,124,Normal
952,low,off,160,Normal
953,high,on,272,Critic
954,low,on,170,Normal
955,high,on,166,Normal
956,median,off,144,Normal
957,high,off,202,Critic
958,median,on,121,Normal
959,low,off,127,Normal
960,median,off,140,Normal
961,low,on,124,Normal
962,low,off,168,Normal
963,median,off,136,Normal
964,median,on,297,Critic
965,high,on,234,Critic
966,low,on,141,Normal
967,median,on,170,Normal
968,low,off,160,Normal
969,low,off,143,Normal
970,low,on,149,Normal
971,low,on,134,Normal
972,low,on,137,Normal
973,low,on,163,Normal
974,high,off,162,Normal
975,low,on,127,Normal
976,low,on,139,Normal
977,low,on,152,Normal
978,low,off,126,Normal
979,low,on,158,Normal
980,high,off,170,Critic
981,low,on,126,Normal
982,median,on,142,Normal
983,low,on,156,Normal
984,low,off,168,Normal
985,high,on,202,Critic
986,high,off,166,Normal
987,low,off,138,Normal
988,low,off,157,Normal
989,median,off,207,Critic
990,median,off,134,Normal
991,low,on,148,Normal
992,low,off,155,Normal
993,low,off,142,Normal
994,low,on,148,Normal
995,median,on,122,Normal
996,median,on,127,Normal
997,low,on,132,Normal
998,low,on,168,Normal
999,median,off,138,Normal
1000,low,off,168,Normal
1001,low,off,134,Normal
1002,median,on,136,Normal
1003,high,off,132,Normal
1004,low,off,144,Normal
1005,low,off,231,Critic
1006,median,on,132,Normal
1007,low,off,142,Normal
1008,low,off,144,Normal
1009,low,on,136,Normal
1010,low,off,160,Normal
1011,low,on,136,Normal
1012,low,on,124,Normal
1013,median,off,214,Critic
1014,high,off,230,Critic
1015,low,on,127,Normal
1016,low,off,151,Normal
1017,median,on,232,Critic
1018,median,off,148,Normal
1019,median,on,266,Critic
1020,median,on,160,Normal
1021,low,on,164,Normal
1022,low,on,155,Normal
1023,low,off,152,Normal
1024,low,off,160,Normal
1025,median,off,206,Critic
1026,low,on,170,Normal
1027,median,off,138,Normal
1028,low,off,150,Normal
1029,low,off,153,Normal
1030,low,on,146,Normal
1031,median,off,126,Normal
1032,median,on,244,Critic
1033,low,on,123,Normal
1034,high,on,297,Critic
1035,low,off,131,Normal
1036,low,on,143,Normal
1037,low,on,166,Normal
1038,low,on,132,Normal
1039,low,off,182,Critic
1040,low,on,154,Normal
1041,low,on,159,Normal
1042,low,on,163,Normal
1043,median,off,154,Normal
1044,low,on,170,Normal
1045,low,on,166,Normal
1046,low,off,168,Normal
1047,low,on,143,Normal
1048,high,on,155,Normal
1049,high,on,148,Normal
1050,median,off,140,Normal
1051,high,on,291,Critic
1052,low,on,148,Normal
1053,high,off,153,Normal
1054,low,off,135,Normal
1055,low,off,136,Normal
1056,low,on,122,Normal
1057,median,off,125,Normal
1058,high,off,213,Critic
1059,low,off,133,Normal
1060,low,off,128,Normal
1061,low,off,130,Normal
1062,high,on,120,Normal
1063,high,on,178,Critic
1064,low,on,166,Normal
1065,low,off,219,Critic
1066,low,on,140,Normal
1067,low,off,140,Normal
1068,low,off,158,Normal
1069,low,off,123,Normal
1070,low,off,157,Normal
1071,high,off,182,Critic
1072,high,on,162,Normal
1073,median,on,130,Normal
1074,median,on,156,Normal
1075,high,off,284,Critic
1076,median,on,148,Normal
1077,high,off,164,Normal
1078,median,on,138,Normal
1079,median,off,252,Critic
1080,low,on,142,Normal
1081,low,off,169,Normal
1082,low,on,153,Normal
1083,low,off,151,Normal
1084,high,on,280,Critic
1085,low,off,169,Normal
1086,median,on,141,Normal
1087,low,on,130,Normal
1088,low,on,159,Normal
1089,low,off,168,Normal
1090,low,off,162,Normal
1091,high,off,264,Critic
1092,low,on,138,Normal
1093,median,on,132,Normal
1094,low,off,152,Normal
1095,low,on,160,Normal
1096,high,off,262,Critic
1097,high,off,195,Critic
1098,high,on,128,Normal
1099,low,on,136,Normal
1100,low,on,162,Normal
1101,low,off,152,Normal
1102,median,off,125,Normal
1103,median,off,260,Critic
1104,median,off,234,Critic
1105,median,on,162,Normal
1106,low,off,142,Normal
1107,low,off,168,Normal
1108,low,off,142,Normal
1109,low,on,130,Normal
1110,low,off,130,Normal
1111,low,off,146,Normal
1112,median,on,146,Normal
1113,low,on,135,Normal
1114,low,off,138,Normal
1115,high,on,132,Normal
1116,low,off,141,Normal
1117,low,on,131,Normal
1118,low,on,138,Normal
1119,median,on,158,Normal
1120,low,off,130,Normal
1121,high,off,207,Critic
1122,high,on,170,Normal
1123,median,off,126,Normal
1124,high,on,136,Normal
1125,low,off,157,Normal
1126,low,off,154,Normal
1127,low,off,136,Normal
1128,high,on,127,Normal
1129,high,off,242,Critic
1130,median,on,158,Normal
1131,low,off,155,Normal
1132,low,off,297,Critic
1133,low,on,128,Normal
1134,low,off,126,Normal
1135,low,on,138,Normal
1136,median,on,152,Normal
1137,low,on,148,Normal
1138,low,off,122,Normal
1139,low,off,160,Normal
1140,median,on,167,Normal
1141,high,on,188,Critic
1142,low,on,151,Normal
1143,high,off,296,Critic
1144,low,off,127,Normal
1145,low,off,124,Normal
1146,median,off,164,Normal
1147,median,off,165,Normal
1148,median,off,158,Normal
1149,median,off,126,Normal
