user,movie,date_of_grade,grade
59,32,15-10-14,2
59,45,15-10-11,2
59,58,15-10-20,4
59,80,15-10-13,4
59,93,15-10-14,3
60,5,15-10-05,2
60,16,15-10-08,5
60,27,15-10-08,2
60,38,15-10-11,5
60,49,15-10-04,5
60,60,15-10-11,2
60,71,15-10-01,1
60,72,15-10-13,5
60,82,15-10-18,2
60,83,15-10-11,2
60,93,15-10-12,1
60,94,15-10-13,3
61,48,15-10-09,2
61,53,15-10-13,4
61,58,15-10-18,3
61,63,15-10-19,3
61,68,15-10-05,4
61,73,15-10-02,2
62,6,15-10-11,1
62,7,15-10-01,3
62,18,15-10-13,3
62,29,15-10-07,1
62,40,15-10-02,2
62,51,15-10-06,3
62,62,15-10-13,1
62,63,15-10-08,3
62,73,15-10-07,5
62,74,15-10-05,4
62,84,15-10-10,5
62,85,15-10-09,4
62,95,15-10-19,3
62,96,15-10-09,3
63,0,15-10-18,2
63,3,15-10-04,5
63,6,15-10-11,1
63,9,15-10-01,5
63,12,15-10-12,2
63,15,15-10-03,3
63,18,15-10-10,4
63,21,15-10-14,1
63,24,15-10-04,3
63,67,15-10-02,3
63,70,15-10-20,5
63,73,15-10-15,4
63,76,15-10-16,4
63,79,15-10-18,3
63,82,15-10-01,3
63,85,15-10-05,5
63,88,15-10-19,3
63,91,15-10-04,1
63,94,15-10-10,4
63,97,15-10-10,5
64,2,15-10-17,2
64,17,15-10-07,5
64,34,15-10-18,5
64,51,15-10-15,3
64,68,15-10-05,1
64,85,15-10-01,2
65,8,15-10-05,4
65,25,15-10-16,3
65,42,15-10-19,5
65,59,15-10-19,1
65,74,15-10-20,4
65,91,15-10-12,5
66,71,15-10-20,2
66,76,15-10-20,3
66,81,15-10-12,3
66,86,15-10-18,4
66,91,15-10-15,5
67,7,15-10-09,5
67,12,15-10-04,4
67,26,15-10-17,5
67,31,15-10-17,1
67,45,15-10-14,4
67,50,15-10-09,5
67,55,15-10-05,5
67,64,15-10-13,3
67,69,15-10-19,1
67,74,15-10-03,3
67,83,15-10-10,5
67,88,15-10-17,4
67,93,15-10-05,5
68,2,15-10-09,1
68,7,15-10-19,2
68,12,15-10-04,2
68,17,15-10-13,2
68,22,15-10-06,1
68,27,15-10-12,2
68,32,15-10-11,2
68,37,15-10-20,3
68,42,15-10-14,5
68,47,15-10-08,5
68,52,15-10-05,3
68,57,15-10-02,1
68,62,15-10-10,1
68,67,15-10-14,5
68,72,15-10-03,5
68,77,15-10-16,4
68,82,15-10-03,5
68,87,15-10-16,3
69,3,15-10-17,2
69,8,15-10-12,2
69,22,15-10-04,3
69,27,15-10-20,2
69,41,15-10-01,3
69,46,15-10-11,2
69,51,15-10-02,4
69,60,15-10-15,5
69,65,15-10-03,2
69,70,15-10-05,5
69,84,15-10-17,3
69,89,15-10-06,1
70,3,15-10-15,3
70,8,15-10-13,1
70,13,15-10-08,1
70,18,15-10-13,5
70,48,15-10-19,4
70,53,15-10-15,2
70,58,15-10-16,5
70,63,15-10-14,2
70,68,15-10-02,5
70,73,15-10-12,3
70,78,15-10-15,2
70,83,15-10-01,4
70,88,15-10-09,3
70,93,15-10-14,1
70,98,15-10-11,2
71,11,15-10-14,4
71,13,15-10-20,1
71,28,15-10-07,4
71,45,15-10-12,4
71,62,15-10-03,3
71,79,15-10-01,3
71,96,15-10-19,1
72,69,15-10-15,1
72,72,15-10-07,2
72,75,15-10-14,1
72,78,15-10-11,1
72,81,15-10-19,1
72,84,15-10-15,5
72,87,15-10-11,5
72,90,15-10-02,3
72,93,15-10-12,5
72,96,15-10-03,2
72,99,15-10-12,3
73,4,15-10-04,1
73,9,15-10-08,5
73,69,15-10-05,1
73,74,15-10-03,5
73,79,15-10-02,3
73,84,15-10-01,5
73,89,15-10-11,2
73,94,15-10-19,5
73,99,15-10-07,5
74,2,15-10-15,3
74,5,15-10-12,3
74,8,15-10-17,5
74,11,15-10-10,2
74,14,15-10-12,5
74,17,15-10-14,1
74,20,15-10-17,2
74,78,15-10-10,5
74,81,15-10-15,1
74,84,15-10-01,1
74,87,15-10-02,1
74,90,15-10-18,4
74,93,15-10-10,3
74,96,15-10-19,3
74,99,15-10-13,3
75,0,15-10-11,2
75,17,15-10-18,1
75,32,15-10-19,1
75,34,15-10-08,3
75,49,15-10-15,3
75,51,15-10-20,4
75,66,15-10-11,2
75,68,15-10-20,3
75,83,15-10-04,3
76,5,15-10-12,4
76,12,15-10-18,4
76,19,15-10-16,4
76,26,15-10-18,1
76,33,15-10-18,3
76,40,15-10-17,3
76,47,15-10-10,2
76,54,15-10-04,5
76,61,15-10-18,2
76,68,15-10-04,5
76,75,15-10-06,4
76,82,15-10-08,4
76,89,15-10-20,1
77,28,15-10-08,2
77,41,15-10-06,1
77,54,15-10-15,1
77,67,15-10-01,3
77,80,15-10-15,4
78,4,15-10-20,2
78,15,15-10-04,3
78,26,15-10-17,1
78,37,15-10-20,3
78,48,15-10-12,1
78,59,15-10-12,2
78,70,15-10-12,4
78,81,15-10-07,3
78,82,15-10-06,2
78,93,15-10-16,1
79,7,15-10-03,5
79,24,15-10-06,3
79,41,15-10-11,5
79,58,15-10-04,4
79,73,15-10-04,5
79,90,15-10-16,3
80,11,15-10-11,4
80,24,15-10-05,5
80,37,15-10-03,1
80,46,15-10-15,2
80,50,15-10-04,5
80,59,15-10-15,1
80,72,15-10-18,1
80,85,15-10-15,5
80,98,15-10-14,4
81,11,15-10-14,3
81,24,15-10-12,3
81,33,15-10-06,5
81,46,15-10-20,2
81,59,15-10-14,3
81,72,15-10-05,1
81,85,15-10-15,3
81,98,15-10-07,4
82,13,15-10-14,5
82,28,15-10-08,2
82,30,15-10-20,5
82,45,15-10-10,2
82,47,15-10-05,1
82,62,15-10-18,5
82,64,15-10-15,5
82,79,15-10-01,4
82,81,15-10-15,1
82,96,15-10-08,4
82,98,15-10-01,2
83,3,15-10-02,5
83,5,15-10-08,1
83,7,15-10-06,1
83,20,15-10-18,5
83,22,15-10-09,3
83,24,15-10-01,5
83,37,15-10-06,5
83,39,15-10-12,4
83,41,15-10-16,1
83,54,15-10-06,4
83,56,15-10-11,3
83,58,15-10-01,2
83,71,15-10-02,3
83,73,15-10-09,2
83,75,15-10-08,3
83,86,15-10-06,3
83,88,15-10-03,1
83,90,15-10-16,2
83,92,15-10-10,2
84,3,15-10-14,3
84,8,15-10-05,4
84,13,15-10-15,5
84,18,15-10-05,5
84,23,15-10-10,5
84,28,15-10-02,3
84,33,15-10-03,1
84,73,15-10-13,5
84,78,15-10-20,5
84,83,15-10-04,4
84,88,15-10-10,2
84,93,15-10-18,2
84,98,15-10-13,2
85,0,15-10-01,1
85,13,15-10-10,2
85,26,15-10-07,4
85,39,15-10-19,4
85,52,15-10-20,1
85,61,15-10-20,1
85,65,15-10-11,2
85,74,15-10-04,3
85,78,15-10-13,5
85,87,15-10-07,3
86,65,15-10-13,3
86,68,15-10-20,5
86,71,15-10-08,1
86,74,15-10-07,5
86,77,15-10-16,1
86,80,15-10-09,2
86,83,15-10-13,1
87,0,15-10-08,5
87,13,15-10-14,4
87,26,15-10-09,2
87,39,15-10-11,4
87,74,15-10-10,3
87,87,15-10-05,5
88,7,15-10-06,2
88,11,15-10-04,2
88,20,15-10-06,5
88,33,15-10-08,4
88,42,15-10-19,4
88,46,15-10-16,5
88,55,15-10-08,3
88,59,15-10-18,5
88,68,15-10-19,3
88,72,15-10-07,2
88,81,15-10-13,1
88,85,15-10-17,3
88,94,15-10-10,2
88,98,15-10-03,4
89,2,15-10-13,5
89,7,15-10-07,4
89,12,15-10-15,1
89,16,15-10-11,5
89,21,15-10-02,4
89,26,15-10-09,5
89,31,15-10-10,2
89,35,15-10-11,2
89,40,15-10-03,1
89,45,15-10-09,3
89,50,15-10-02,1
89,59,15-10-15,1
89,64,15-10-20,1
89,69,15-10-14,4
89,74,15-10-17,4
89,78,15-10-14,2
89,83,15-10-20,4
89,88,15-10-18,5
89,93,15-10-13,4
89,97,15-10-03,2
90,6,15-10-20,2
90,13,15-10-04,3
90,20,15-10-17,3
90,27,15-10-09,3
90,34,15-10-13,4
90,41,15-10-04,2
90,85,15-10-02,4
90,92,15-10-18,4
90,99,15-10-06,5
91,3,15-10-03,2
91,10,15-10-04,2
91,17,15-10-14,4
91,24,15-10-14,4
91,31,15-10-13,3
91,33,15-10-05,2
91,38,15-10-11,1
91,40,15-10-15,2
91,47,15-10-11,4
91,54,15-10-20,2
91,61,15-10-15,3
91,68,15-10-08,2
91,75,15-10-15,4
91,82,15-10-08,4
91,89,15-10-03,4
91,96,15-10-15,2
92,3,15-10-01,5
92,5,15-10-20,1
92,7,15-10-14,5
92,20,15-10-17,2
92,22,15-10-01,2
92,24,15-10-14,2
92,37,15-10-08,1
92,39,15-10-20,2
92,41,15-10-15,4
92,54,15-10-09,5
92,56,15-10-12,3
92,58,15-10-07,3
92,71,15-10-02,1
92,73,15-10-08,3
92,75,15-10-17,1
92,86,15-10-02,2
92,88,15-10-04,5
92,90,15-10-17,4
92,92,15-10-04,4
93,29,15-10-06,4
93,32,15-10-13,1
93,35,15-10-09,2
93,38,15-10-09,4
93,41,15-10-11,1
93,44,15-10-15,1
93,47,15-10-11,4
93,50,15-10-01,2
93,53,15-10-19,1
93,56,15-10-19,4
93,59,15-10-14,3
93,62,15-10-16,2
93,65,15-10-13,3
93,68,15-10-02,5
93,71,15-10-02,4
93,74,15-10-16,3
94,4,15-10-09,5
94,9,15-10-02,4
94,14,15-10-06,4
94,19,15-10-04,5
94,23,15-10-13,5
94,28,15-10-13,3
94,33,15-10-11,2
94,38,15-10-12,2
94,47,15-10-08,4
94,52,15-10-01,5
94,57,15-10-09,1
94,66,15-10-12,3
94,71,15-10-15,5
94,76,15-10-07,5
94,85,15-10-06,5
94,90,15-10-14,3
94,95,15-10-18,2
95,0,15-10-05,1
95,3,15-10-17,4
95,6,15-10-05,1
95,9,15-10-12,4
95,12,15-10-18,2
95,15,15-10-07,5
95,18,15-10-18,5
95,21,15-10-06,3
95,91,15-10-20,1
95,94,15-10-15,1
95,97,15-10-12,2
96,0,15-10-14,3
96,3,15-10-18,5
96,6,15-10-11,4
96,9,15-10-11,3
96,12,15-10-10,3
96,15,15-10-10,3
96,18,15-10-03,3
96,21,15-10-10,2
96,91,15-10-17,5
96,94,15-10-18,2
96,97,15-10-14,1
97,6,15-10-18,4
97,17,15-10-09,4
97,28,15-10-12,5
97,39,15-10-10,2
97,40,15-10-16,4
97,50,15-10-07,4
97,51,15-10-12,3
97,62,15-10-11,3
97,73,15-10-08,3
